"Aerolínea","Fecha_del_viaje","Origen","Destino","Ruta","Hora_de_salida","Hora_de_llegada","Duración","Total_de_escalas","Información_adicional","Precio (S/)"
"Avianca Perú","2024-10-15","LIM","TCQ","LIM-TCQ","08:30","09:00","1.5","0","Cancelación gratuita","335.89"
"Sky Airline Perú","2024-06-02","CUZ","AQP","CUZ-AQP","06:00","06:45","0.9","0","Solo equipaje de mano","145.54"
"LATAM Perú","2024-10-17","LIM","CIX","LIM-CIX","07:15","08:30","1.1","0","WiFi incluido","292.29"
"VIVA Air Perú","2024-10-31","LIM","IQT","LIM-IQT","21:15","22:30","1.8","1","Asiento preferente","247.86"
"Avianca Perú","2024-08-02","LIM","PCL","LIM-PCL","09:15","10:15","1.3","0","Solo equipaje de mano","266.7"
"Sky Airline Perú","2024-07-17","AQP","TCQ","AQP-TCQ","21:30","21:30","0.7","0","Cancelación gratuita","262.21"
"JetSMART Perú","2024-11-23","LIM","TPP","LIM-TPP","11:30","12:15","1.3","0","Cancelación gratuita","307.2"
"Avianca Perú","2024-07-01","LIM","TRU","LIM-TRU","16:30","17:15","1.2","0","Asiento preferente","354.48"
"Avianca Perú","2024-04-17","LIM","AQP","LIM-AQP","06:30","07:30","1.3","0","Incluye equipaje","217.57"
"VIVA Air Perú","2024-11-13","LIM","JUL","LIM-JUL","16:00","17:30","1.3","0","Clase business","378.52"
"VIVA Air Perú","2024-03-05","LIM","JUL","LIM-JUL","21:30","22:00","1.5","0","Clase business","425.65"
"LATAM Perú","2024-03-13","LIM","TPP","LIM-TPP","19:00","20:30","1.3","0","Clase business","600.24"
"JetSMART Perú","2024-11-28","LIM","PCL","LIM-PCL","06:00","07:15","1.2","0","Incluye snack","189.76"
"JetSMART Perú","2024-11-25","LIM","IQT","LIM-IQT","15:15","16:30","1.9","0","Clase business","531.11"
"LATAM Perú","2024-01-20","LIM","AQP","LIM-AQP","21:00","22:30","1.1","1","Asiento preferente","406.07"
"JetSMART Perú","2024-09-25","AQP","JUL","AQP-JUL","19:00","19:30","0.8","0","Incluye snack","179.84"
"VIVA Air Perú","2024-05-16","CUZ","AQP","CUZ-AQP","07:00","08:30","1","0","Clase business","366.55"
"Sky Airline Perú","2024-05-03","CUZ","AQP","CUZ-AQP","19:15","20:45","1","0","Cancelación gratuita","322.93"
"Avianca Perú","2024-03-21","AQP","JUL","AQP-JUL","12:00","13:15","1","0","Clase económica","203.51"
"JetSMART Perú","2024-08-24","LIM","PCL","LIM-PCL","05:15","06:45","1.2","0","Clase business","520.16"
"Avianca Perú","2024-02-14","LIM","TPP","LIM-TPP","14:45","15:15","1.3","0","Asiento preferente","299.17"
"JetSMART Perú","2024-01-23","LIM","TPP","LIM-TPP","14:15","15:15","1.4","0","WiFi incluido","222.93"
"Avianca Perú","2024-01-12","TRU","CIX","TRU-CIX","11:15","11:30","0.8","0","Clase business","562.04"
"VIVA Air Perú","2024-12-09","LIM","CUZ","LIM-CUZ","17:30","18:30","1.3","0","Cancelación gratuita","284.2"
"Avianca Perú","2024-10-04","TRU","CIX","TRU-CIX","08:45","08:15","0.8","0","Clase business","553.01"
"Sky Airline Perú","2024-07-11","LIM","AQP","LIM-AQP","18:45","19:45","1.5","0","Incluye snack","282.2"
"Avianca Perú","2024-02-02","LIM","JUL","LIM-JUL","10:30","11:15","1.5","0","Asiento preferente","390.96"
"Avianca Perú","2024-04-08","LIM","CUZ","LIM-CUZ","17:00","18:15","1.3","0","Clase económica","236.92"
"VIVA Air Perú","2024-01-27","AQP","TCQ","AQP-TCQ","07:00","07:15","0.7","0","Incluye snack","179.01"
"Sky Airline Perú","2024-06-11","AQP","TCQ","AQP-TCQ","21:00","21:45","0.8","0","Clase business","445.04"
"LATAM Perú","2024-04-02","TRU","CIX","TRU-CIX","12:30","12:45","0.8","0","Solo equipaje de mano","182.37"
"VIVA Air Perú","2024-02-15","LIM","IQT","LIM-IQT","19:00","21:00","2.1","0","Incluye equipaje","252.62"
"LATAM Perú","2024-11-14","LIM","TCQ","LIM-TCQ","06:45","07:30","1.8","0","Clase económica","256.9"
"JetSMART Perú","2024-08-04","AQP","TCQ","AQP-TCQ","05:45","05:00","0.9","0","Clase business","448.12"
"LATAM Perú","2024-06-08","CUZ","JUL","CUZ-JUL","19:45","19:15","0.7","0","Incluye snack","248.99"
"LATAM Perú","2024-08-12","CUZ","JUL","CUZ-JUL","05:00","05:15","0.7","0","Incluye equipaje","200.38"
"Sky Airline Perú","2024-04-15","LIM","CIX","LIM-CIX","16:00","17:00","1.4","0","WiFi incluido","268.7"
"VIVA Air Perú","2024-11-23","LIM","CUZ","LIM-CUZ","19:30","20:15","1.3","0","Cancelación gratuita","316.9"
"JetSMART Perú","2024-10-23","LIM","CIX","LIM-CIX","14:15","15:30","1.1","0","WiFi incluido","194.69"
"JetSMART Perú","2024-03-22","AQP","JUL","AQP-JUL","10:15","11:45","1","0","Clase económica","146.35"
"JetSMART Perú","2024-04-02","LIM","CIX","LIM-CIX","19:00","20:45","1.3","0","Asiento preferente","223.11"
"VIVA Air Perú","2024-05-31","CUZ","JUL","CUZ-JUL","21:30","22:15","1","0","Clase económica","164.7"
"Sky Airline Perú","2024-09-18","AQP","TCQ","AQP-TCQ","11:15","11:15","0.8","0","Clase económica","126.82"
"Avianca Perú","2024-08-12","LIM","PCL","LIM-PCL","07:15","08:15","1.2","0","WiFi incluido","262.93"
"VIVA Air Perú","2024-04-20","LIM","TCQ","LIM-TCQ","18:45","19:00","1.5","0","Clase business","527.15"
"VIVA Air Perú","2024-06-11","LIM","TPP","LIM-TPP","09:00","10:30","1.4","1","Incluye equipaje","190.33"
"JetSMART Perú","2024-07-13","AQP","TCQ","AQP-TCQ","18:45","19:45","1","0","Incluye equipaje","248.87"
"JetSMART Perú","2024-01-01","LIM","PCL","LIM-PCL","15:00","16:45","1.3","0","Clase económica","175.01"
"VIVA Air Perú","2024-11-29","CUZ","JUL","CUZ-JUL","06:00","06:00","0.8","0","Asiento preferente","195.01"
"LATAM Perú","2024-07-24","LIM","AQP","LIM-AQP","16:15","17:00","1.5","0","Asiento preferente","400.74"
"Avianca Perú","2024-02-08","LIM","CUZ","LIM-CUZ","19:30","20:00","1.1","0","Solo equipaje de mano","200.25"
"Sky Airline Perú","2024-01-08","LIM","PIU","LIM-PIU","05:30","06:15","1.6","0","Incluye equipaje","219.12"
"Sky Airline Perú","2024-04-23","LIM","AQP","LIM-AQP","21:15","22:15","1.3","0","Asiento preferente","245.19"
"LATAM Perú","2024-05-26","LIM","PIU","LIM-PIU","20:15","21:15","1.4","0","Solo equipaje de mano","273.17"
"LATAM Perú","2024-06-17","AQP","JUL","AQP-JUL","20:00","21:00","1.1","0","Solo equipaje de mano","211.37"
"VIVA Air Perú","2024-01-19","LIM","TCQ","LIM-TCQ","10:15","11:45","1.6","0","Incluye snack","284.39"
"LATAM Perú","2024-05-22","TRU","CIX","TRU-CIX","05:45","05:00","0.6","0","Clase business","476.83"
"LATAM Perú","2024-04-11","LIM","AQP","LIM-AQP","15:30","16:00","1.4","0","Asiento preferente","328.35"
"Sky Airline Perú","2024-04-26","LIM","CIX","LIM-CIX","16:00","17:45","1.3","0","Incluye snack","317.02"
"Sky Airline Perú","2024-01-21","LIM","JUL","LIM-JUL","15:30","16:00","1.3","0","Clase económica","250.07"
"JetSMART Perú","2024-11-29","LIM","TCQ","LIM-TCQ","08:45","09:45","1.7","0","Incluye equipaje","261.54"
"Sky Airline Perú","2024-06-06","AQP","JUL","AQP-JUL","06:00","06:45","0.9","0","Clase económica","186.13"
"Avianca Perú","2024-03-11","LIM","CIX","LIM-CIX","21:15","22:15","1.2","0","WiFi incluido","284.68"
"VIVA Air Perú","2024-06-21","LIM","AQP","LIM-AQP","14:30","15:00","1.4","0","Cancelación gratuita","293.78"
"LATAM Perú","2024-01-10","LIM","CIX","LIM-CIX","14:45","15:45","1","0","WiFi incluido","272"
"VIVA Air Perú","2024-06-15","LIM","TRU","LIM-TRU","14:00","15:30","1","0","Clase económica","216.78"
"JetSMART Perú","2024-08-13","LIM","AQP","LIM-AQP","05:30","06:30","1.2","0","Clase económica","147.29"
"JetSMART Perú","2024-03-18","AQP","JUL","AQP-JUL","17:00","17:15","0.9","0","Incluye equipaje","152.68"
"Sky Airline Perú","2024-05-04","LIM","TRU","LIM-TRU","11:00","12:30","1.1","0","Incluye snack","240.65"
"VIVA Air Perú","2024-08-16","TRU","PIU","TRU-PIU","05:45","05:45","0.9","0","Cancelación gratuita","228.2"
"LATAM Perú","2024-05-09","TRU","PIU","TRU-PIU","09:45","10:15","1.1","0","Clase económica","216.37"
"Avianca Perú","2024-09-15","CUZ","JUL","CUZ-JUL","10:15","10:15","0.9","0","Incluye equipaje","292.01"
"VIVA Air Perú","2024-02-05","LIM","PIU","LIM-PIU","09:00","10:15","1.4","0","Incluye equipaje","193.86"
"VIVA Air Perú","2024-05-15","LIM","TPP","LIM-TPP","07:45","08:45","1.3","0","Solo equipaje de mano","166.92"
"Sky Airline Perú","2024-08-18","LIM","TCQ","LIM-TCQ","05:00","06:00","1.7","0","Cancelación gratuita","376.06"
"Sky Airline Perú","2024-03-06","LIM","JUL","LIM-JUL","13:00","14:15","1.4","0","Clase business","449.86"
"Sky Airline Perú","2024-11-06","LIM","JUL","LIM-JUL","10:30","11:45","1.6","0","Clase económica","238.02"
"LATAM Perú","2024-06-14","AQP","TCQ","AQP-TCQ","17:30","18:30","1.1","0","Incluye equipaje","290.81"
"LATAM Perú","2024-06-11","LIM","PIU","LIM-PIU","06:30","07:00","1.5","0","WiFi incluido","310.32"
"LATAM Perú","2024-11-05","LIM","CUZ","LIM-CUZ","05:45","06:15","1.1","1","Clase business","566.04"
"Avianca Perú","2024-01-25","LIM","TPP","LIM-TPP","19:45","20:30","1.4","0","Clase business","578.5"
"VIVA Air Perú","2024-11-11","TRU","CIX","TRU-CIX","10:45","11:30","1","0","Incluye equipaje","185.38"
"JetSMART Perú","2024-09-22","LIM","IQT","LIM-IQT","06:15","07:30","1.9","1","Incluye equipaje","265.06"
"JetSMART Perú","2024-11-24","LIM","TPP","LIM-TPP","18:30","19:45","1.5","0","Clase business","589.33"
"Avianca Perú","2024-11-03","LIM","AQP","LIM-AQP","08:45","09:45","1.4","0","WiFi incluido","356.95"
"JetSMART Perú","2024-06-03","TRU","PIU","TRU-PIU","18:30","18:30","0.9","0","WiFi incluido","139.65"
"Sky Airline Perú","2024-11-09","LIM","IQT","LIM-IQT","11:00","12:45","1.9","0","WiFi incluido","344.99"
"Avianca Perú","2024-09-12","CUZ","AQP","CUZ-AQP","08:15","09:45","1","0","Clase económica","230.88"
"Sky Airline Perú","2024-02-11","TRU","PIU","TRU-PIU","17:00","17:45","0.9","0","Clase business","510.97"
"Avianca Perú","2024-01-10","AQP","JUL","AQP-JUL","12:00","12:00","0.7","0","Solo equipaje de mano","164.4"
"LATAM Perú","2024-12-08","AQP","TCQ","AQP-TCQ","17:30","17:45","0.9","0","Clase económica","304.88"
"JetSMART Perú","2024-04-18","LIM","TPP","LIM-TPP","07:45","08:45","1.2","0","Solo equipaje de mano","160.54"
"VIVA Air Perú","2024-07-29","CUZ","AQP","CUZ-AQP","11:30","12:15","1.1","0","WiFi incluido","253.87"
"VIVA Air Perú","2024-08-10","AQP","TCQ","AQP-TCQ","12:45","12:30","0.9","1","Solo equipaje de mano","156.16"
"Sky Airline Perú","2024-05-28","TRU","CIX","TRU-CIX","08:45","08:45","0.8","0","Incluye equipaje","150.9"
"VIVA Air Perú","2024-01-11","AQP","JUL","AQP-JUL","14:30","14:15","0.8","0","Incluye equipaje","153.83"
"Sky Airline Perú","2024-04-23","CUZ","JUL","CUZ-JUL","16:45","16:45","0.7","0","Solo equipaje de mano","162.79"
"Sky Airline Perú","2024-05-28","LIM","TPP","LIM-TPP","12:15","13:15","1.5","0","Clase business","520.27"
"JetSMART Perú","2024-01-22","LIM","TCQ","LIM-TCQ","17:15","18:30","1.5","1","Solo equipaje de mano","177.59"
"VIVA Air Perú","2024-10-04","LIM","TRU","LIM-TRU","15:00","15:00","0.9","0","Clase business","430.47"
"VIVA Air Perú","2024-10-07","TRU","CIX","TRU-CIX","09:30","09:30","0.9","0","WiFi incluido","183.65"
"VIVA Air Perú","2024-08-11","LIM","AQP","LIM-AQP","14:15","15:30","1.5","0","Cancelación gratuita","302.73"
"LATAM Perú","2024-01-13","LIM","CUZ","LIM-CUZ","13:45","14:15","1.2","0","Cancelación gratuita","388.49"
"LATAM Perú","2024-01-20","TRU","CIX","TRU-CIX","15:45","15:45","0.9","1","Incluye equipaje","258.94"
"Avianca Perú","2024-01-20","AQP","TCQ","AQP-TCQ","14:45","14:30","0.9","0","Clase económica","210.27"
"Sky Airline Perú","2024-09-16","LIM","IQT","LIM-IQT","17:45","18:00","1.9","0","Incluye snack","287.27"
"Sky Airline Perú","2024-09-10","AQP","JUL","AQP-JUL","06:15","07:15","1","0","WiFi incluido","200.58"
"Avianca Perú","2024-01-30","LIM","TRU","LIM-TRU","10:00","10:30","0.8","0","Clase económica","198.99"
"LATAM Perú","2024-11-14","LIM","AQP","LIM-AQP","21:30","22:00","1.4","0","Incluye equipaje","279.64"
"VIVA Air Perú","2024-08-27","LIM","AQP","LIM-AQP","19:30","20:30","1.3","1","Clase económica","132.49"
"JetSMART Perú","2024-12-15","TRU","PIU","TRU-PIU","17:15","18:15","1","0","Solo equipaje de mano","216.99"
"JetSMART Perú","2024-12-14","LIM","CIX","LIM-CIX","09:45","10:45","1.1","0","Clase business","558.38"
"Sky Airline Perú","2024-05-08","TRU","CIX","TRU-CIX","08:15","08:45","0.8","0","Asiento preferente","198.52"
"LATAM Perú","2024-07-31","LIM","PCL","LIM-PCL","16:15","17:45","1.1","0","Clase económica","251.21"
"Sky Airline Perú","2024-07-23","LIM","CIX","LIM-CIX","10:45","11:15","1.3","0","Solo equipaje de mano","256.57"
"JetSMART Perú","2024-03-10","LIM","AQP","LIM-AQP","19:15","20:00","1.2","0","WiFi incluido","257.37"
"Sky Airline Perú","2024-05-21","LIM","CIX","LIM-CIX","09:15","10:00","1.2","0","Clase económica","163.05"
"JetSMART Perú","2024-12-06","LIM","TRU","LIM-TRU","16:00","17:00","1","0","Solo equipaje de mano","216.65"
"Avianca Perú","2024-12-19","LIM","AQP","LIM-AQP","15:00","16:15","1.5","0","Clase business","756.24"
"Sky Airline Perú","2024-01-05","LIM","AQP","LIM-AQP","06:15","07:00","1.3","0","Clase business","601.03"
"VIVA Air Perú","2024-10-20","LIM","JUL","LIM-JUL","14:30","15:45","1.3","0","Cancelación gratuita","289.42"
"VIVA Air Perú","2024-08-01","LIM","CIX","LIM-CIX","19:45","20:00","1.1","0","Incluye snack","192.45"
